chembl_id,canonical_smiles,endpoint,value,pchembl
CHEMBL1086579,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCN(C)CC5)nc34)CC2)no1,herg,3.0000000000000004,5.52
CHEMBL1090175,COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,herg,3.4,5.47
CHEMBL1092652,CN(C)CCC1=C(Cc2cccnn2)c2ccc(Cl)cc2C1,herg,0.22,6.66
CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,herg,3.6595081636744573,5.4350000000000005
CHEMBL1169660,O=C(NCCO)c1ccccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,herg,63.09573000000003,
CHEMBL1210614,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(S(F)(F)(F)(F)F)c3)C2)n1C,herg,1.3593575165625975,5.866666666666667
CHEMBL1223259,CC(C)(C)c1nnc(-c2nn(-c3ccccc3Cl)c(-c3ccc(Br)cc3)c2Cn2cncn2)s1,herg,10.5,4.98
CHEMBL1235,CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,herg,9.500000000000002,5.02
CHEMBL1236391,CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CCNCC3)ccc12,herg,8.13,5.09
CHEMBL1271520,O=C(N[C@@H]1CN2CCC1CC2)c1cccc2oc(N3CCOCC3)nc12,herg,3.2,5.5
CHEMBL1289515,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CC[C@H](O)C2)c1,herg,9.000000000000002,5.05
CHEMBL1290746,Cc1ccc(C(=O)Nc2ccon2)cc1NC(=O)c1cnn(-c2ccccc2F)c1N,herg,159.99999999999994,
CHEMBL1615152,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(F)c1,herg,19.999999999999996,
CHEMBL1630,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,herg,2.4,5.62
CHEMBL1642895,CN[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,herg,2.32,5.63
CHEMBL1642896,CN[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,herg,5.27,5.28
CHEMBL1642908,CNC[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,herg,2.0,5.7
CHEMBL1642912,NCC[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,herg,13.099999999999998,4.88
CHEMBL1650511,FC(F)(F)c1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,herg,15.999999999999998,4.8
CHEMBL1668239,O=C(N[C@H]1CC[C@H](O)CC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,herg,7.300000000000001,5.14
CHEMBL1668243,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(Cl)c1,herg,7.800000000000002,5.11
CHEMBL1668257,O=C(Nc1ccc(-c2nnn[nH]2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,herg,10.000000000000002,
CHEMBL1683074,CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cc(C(F)(F)F)ccn3)CC2)(C(C)C)C1,herg,1.7,5.77
CHEMBL1684058,CC(N(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,herg,40.0,4.4
CHEMBL1684059,CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,herg,4.3,5.37
CHEMBL1767164,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C[C@H]1CCCN1CCCCc1ccc(OCCCN2CCCCCC2)cc1,herg,0.050120000000000005,7.3
CHEMBL1777855,CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F,herg,24.999999999999996,4.6
CHEMBL1778865,COc1cc(F)ccc1-c1cncc(CNCC2CC2)n1,herg,1.89,5.72
CHEMBL1779012,COc1cc(F)ccc1-c1cncc(CNC(=O)c2cnccn2)c1,herg,7.109999999999999,5.15
CHEMBL1779013,COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccn2)c1,herg,27.0,4.57
CHEMBL1813471,Clc1ccc([C@]23CCCC[C@H]2CNC3)cc1Cl,herg,6.4799999999999995,5.19
CHEMBL1813484,CN1C[C@H]2CCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,herg,5.43,5.26
CHEMBL1834345,CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(C)(C)C=N1,herg,10.000000000000002,
CHEMBL1835153,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12,herg,22.000000000000004,4.66
CHEMBL1837040,CC(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(c3ccccn3)CC2)C1,herg,35.199999999999996,4.45
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,herg,2.0178322004457505,5.6933333333333325
CHEMBL1908842,CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1,herg,10.000000000000002,
CHEMBL1949930,COc1cc(OC(C)C)cc(S(=O)(=O)c2ccc3c(c2)O[C@H]2CNCC[C@@H]32)c1,herg,3.3,5.48
CHEMBL1950643,O=c1ccc(-c2ccc(OC3CCN(C4CCC4)CC3)cc2)n[nH]1,herg,7.999999999999998,5.1
CHEMBL1951431,CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3ccnc4ccccc34)c(=O)c21,herg,4.2,5.38
CHEMBL1951599,CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,herg,9.000000000000002,5.05
CHEMBL1951600,CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,herg,6.700000000000001,5.17
CHEMBL1951608,CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,herg,1.9,5.72
CHEMBL1957816,O=C(c1cccn2ccnc12)N1CCN(CCc2ccc(F)cc2F)CC1,herg,1.9,5.72
CHEMBL1980297,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,herg,1.0,6.0
CHEMBL2021600,C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ncc(C(F)(F)F)cc2F)CC1)C(C)(C)C,herg,17.0,4.77
CHEMBL2040854,Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3cc(O)ncn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cn1,herg,19.999999999999996,4.7
CHEMBL2040894,COCc1nc(-c2ccc(N3C(=O)N(c4cc(O)ncn4)C4(CCN(Cc5ncccc5C)CC4)C3=O)cc2)no1,herg,7.7,5.11
CHEMBL2041176,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C#N)cc4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,herg,0.37,6.43
CHEMBL2041177,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(N)=O)cc4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,herg,0.65,6.19
CHEMBL2041183,Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3cc(C(F)(F)F)ncn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cc1,herg,21.0,4.68
CHEMBL2041184,Cc1nccc(N2C(=O)N(c3ccc(-c4ccc(C(=O)O)cc4C)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)n1,herg,22.000000000000004,4.66
CHEMBL2041186,Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3nccnc3C)C3(CCN(Cc4ncccc4C)CC3)C2=O)cc1,herg,7.800000000000002,5.11
CHEMBL2041188,Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3ncccn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cc1,herg,23.0,4.64
CHEMBL2070937,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccccc4s3)CC2)CC1,herg,7.943279999999999,5.1
CHEMBL2086687,C[C@@H]1CN(C(=O)OCC(F)(F)F)CCN1c1ncc(OCc2ccncc2C#N)cn1,herg,12.0,4.92
CHEMBL2086760,CCN1CCC(Nc2ccc3c(c2)C(=C(c2ccc(Cl)cc2)c2ncc[nH]2)C(=O)N3)CC1,herg,3.3670000000000004,5.47
CHEMBL2152252,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,herg,17.318,4.76
CHEMBL2158230,N#Cc1cnc(C(=O)Nc2ccc(C3CCN(CCN4CCOCC4)CC3)cc2C2=CCCCC2)[nH]1,herg,10.000000000000002,
